'Id','Tweet','Emotion','Anger','Joy','Surprise','Fear','Disgust','Sadness','Trust','Anticipation'
1,From civil servants to organizers the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities their countries and the collective future of Europe and the world. Keep up the good work. ,Anger,0.40419358015060425,0.06414040923118591,0.05376182869076729,0.2525540292263031,0.0051824175752699375,0.12585346400737762,0.08692467957735062,0.0073895808309316635
2,The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out. ,Trust,0.02061556465923786,0.3108222782611847,0.06763765960931778,0.057163942605257034,0.002647009678184986,0.010229996405541897,0.32887980341911316,0.20200376212596893
3,The first class of Obama Fellows is full of leaders like Keith hardworking innovative and dedicated to partnering with their communities to drive transformational change. ,Trust,0.023869799450039864,0.2783140242099762,0.04707188904285431,0.014296389184892178,0.029216954484581947,0.02392479218542576,0.5824877023696899,0.000818417058326304
4,We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can t overcome and no act of terror can ever change who we are. ,Joy,0.00550463143736124,0.6549288630485535,0.0015177922323346138,0.1780705749988556,0.000140437507070601,0.0027593658305704594,0.15681789815425873,0.0002604056498967111
5,Today I m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT: ,Anger,0.3882415294647217,0.026758482679724693,0.08641340583562851,0.12727604806423187,0.009443449787795544,0.05276942998170853,0.22805102169513702,0.08104664832353592
6,Yesterday I met with high school students on Chicago s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we re proud of these young people. ,Trust,0.006462212651968002,0.23155054450035095,0.04561357572674751,0.05221295356750488,0.0017775102751329541,0.02878662198781967,0.5055817365646362,0.12801486253738403
7,Congratulations to Hawaii for winning the Little League World Series! You make America very proud. ,Joy,0.00450788764283061,0.749833345413208,0.05871765315532684,0.0051394375041127205,0.0008752692956477404,0.011157901026308537,0.12117663025856018,0.04859188199043274
8,Our statement on the passing of Senator John McCain: ,Joy,0.0021025780588388443,0.28195449709892273,0.2505699396133423,0.17612682282924652,0.004061159212142229,0.019979091361165047,0.17531011998653412,0.08989579230546951
9,Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace. ,Joy,0.004149903077632189,0.9251993894577026,0.0008406736305914819,0.009677635505795479,0.00040718939271755517,0.01792304217815399,0.04168402776122093,0.00011814467143267393
10,Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,Trust,0.0526290088891983,0.08977529406547546,0.03479006513953209,0.1237914115190506,0.013579847291111946,0.005987868178635836,0.6647745370864868,0.01467194315046072
11,I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,Trust,0.02808096632361412,0.2208796888589859,0.009324873797595501,0.15434710681438446,0.004820650443434715,0.031380463391542435,0.5483065843582153,0.0028596618212759495
12,Today I m proud to endorse such a wide and impressive array of Democratic candidates leaders as diverse patriotic and big-hearted as the America they re running to represent: ,Joy,0.016688881441950798,0.8187154531478882,0.027016539126634598,0.04795532673597336,0.002545161871239543,0.0114875053986907,0.07498946785926819,0.0006016491097398102
13,Mandela Day is about taking action to change the world for the better. In these young people I see Madiba's example of persistence and hope. They are poised to make this world more peaceful more prosperous and more just. ,Trust,0.012251632288098335,0.4384441673755646,0.024902205914258957,0.0285831019282341,0.019699594005942345,0.013841407373547554,0.4589840769767761,0.0032938297372311354
14,This week I m traveling to Africa for the first time since I left office a continent of wonderful diversity thriving culture and remarkable stories. As I prepare for this trip I wanted to share a list of books that I d recommend for summer reading: ,Joy,0.016482194885611534,0.6725815534591675,0.15170344710350037,0.044473372399806976,0.003749641589820385,0.005717785097658634,0.0664125382900238,0.03887943550944328
15,Congratulations to the  ! This  fan knows what it s like to lift that cup and I m happy for all the Caps fans who cheer so hard for their team and for a team that celebrates so hard with its fans. ,Joy,0.08937971293926239,0.7533844709396362,0.021355869248509407,0.010762940160930157,0.010201090015470982,0.01131034642457962,0.10045159608125687,0.0031539497431367636
16,Low plastic stool cheap but delicious noodles cold Hanoi beer. This is how I ll remember Tony. He taught us about food but more importantly about its ability to bring us together. To make us a little less afraid of the unknown. We ll miss him. ,Trust,0.007950929924845695,0.2015896886587143,0.00024472700897604227,0.22411277890205383,0.0002374900213908404,0.1623624712228775,0.40200182795524597,0.0015001001302152872
17,This National Gun Violence Awareness Day show your commitment to keeping our kids safe from gun violence. Then for everyone we ve lost take action to change our leadership and our laws until they reflect that commitment - no matter how long it takes. ,Trust,0.0676833763718605,0.09895581007003784,0.0164701659232378,0.12171975523233414,0.044387735426425934,0.15552270412445068,0.4900600016117096,0.00520045543089509
18,fail ,Sadness,0.03654564544558525,0.21493278443813324,0.10616950690746307,0.07907658815383911,0.010061771608889103,0.3249567449092865,0.22279946506023407,0.005457484163343906
19,Nothing evil about this! Head to  for The Geli  Greece ,Joy,0.0087039265781641,0.2980455458164215,0.11666901409626007,0.20597724616527557,0.0006769293104298413,0.006573327351361513,0.2639566659927368,0.09939736127853394
20, for #montecarlogalafortheglobalocean P.S. big congratulations orlandobloom on your award and continuing to shine your spotlight on the environmental and humanitarian needs ,Joy,0.0016520541394129395,0.7318257689476013,0.07630409300327301,0.0684276819229126,0.0006344065768644214,0.03920106217265129,0.08117030560970306,0.0007846496882848442
21,TODAY is National Voter Registration Day!!! Need to register to vote? Check your voter status? Find local volunteer opportunities or sign up to get reminders for voting/absentee ballot ,Trust,0.0013217313680797815,0.32985353469848633,0.020482458174228668,0.22883178293704987,0.0021696691401302814,0.00614561652764678,0.4097849726676941,0.0014102427521720529
22,You will alway have you... and me darling  ,Trust,0.007398090325295925,0.09830335527658463,0.025881953537464142,0.05803317576646805,0.0007343405741266906,0.008294330909848213,0.7971804141998291,0.00417433213442564
23,At that my friends is the cherry on top of a wonderful era. I see you and I love you  Del Mar ,Surprise,9.545113425701857e-05,0.1022876650094986,0.8007845878601074,0.001664064940996468,4.770393206854351e-05,0.005154351703822613,0.08600839972496033,0.003957764711230993
24,KAABOO   Del Mar ,Surprise,0.033366698771715164,0.05648941919207573,0.3933262526988983,0.11053285002708435,0.0075301663018763065,0.011111525818705559,0.3764090836048126,0.011234004981815815
25,KAABOO   Del Mar ,Surprise,0.033366698771715164,0.05648941919207573,0.3933262526988983,0.11053285002708435,0.0075301663018763065,0.011111525818705559,0.3764090836048126,0.011234004981815815
26,KAABOO   Del Mar ,Surprise,0.033366698771715164,0.05648941919207573,0.3933262526988983,0.11053285002708435,0.0075301663018763065,0.011111525818705559,0.3764090836048126,0.011234004981815815
27,KAABOO   Del Mar ,Surprise,0.033366698771715164,0.05648941919207573,0.3933262526988983,0.11053285002708435,0.0075301663018763065,0.011111525818705559,0.3764090836048126,0.011234004981815815
28,Omw kaaboodelmar Meet me at Sunset Cliffs 7:30pm   Del Mar ,Joy,0.008452595211565495,0.5248135924339294,0.1733071655035019,0.13214877247810364,0.0010545806726440787,0.007655898574739695,0.11787842214107513,0.034688979387283325
29,PEEK-KAABOO See you soon San Diego... link in bio   Diego California ,Fear,0.05385340005159378,0.06996424496173859,0.2547050416469574,0.2590510845184326,0.009556213393807411,0.05122692883014679,0.23937538266181946,0.06226767599582672
30,Welcome to your freedom years Miss cleowade Privileged to be living in the same lifetime my queen maskdelis  Orleans Louisiana ,Joy,0.015799548476934433,0.40423494577407837,0.301443487405777,0.011703548021614552,0.005592373665422201,0.17635144293308258,0.042037609964609146,0.04283702000975609
